pr_url,slop,notes,heuristic_codes
https://github.com/flathub/flathub/pull/8960,0,"This doesn't look like slop, more like a bad contributor but it is probably labeled as slop.",
https://github.com/louislam/uptime-kuma/pull/7464,0,,
https://github.com/flathub/flathub/pull/7861,1,,"2,6"
https://github.com/flathub/flathub/pull/8361,0,,
https://github.com/spesmilo/electrum/pull/10421,0,,
https://github.com/flathub/flathub/pull/8993,1,,"2,6"
https://github.com/flathub/flathub/pull/8560,0,,
https://github.com/ripienaar/free-for-dev/pull/4455,1,,"1,2,4,6"
https://github.com/typescript-eslint/typescript-eslint/pull/12117,0,,
https://github.com/OrcaSlicer/OrcaSlicer/pull/13610,1,,"1,4,6"
https://github.com/flathub/flathub/pull/8558,0,,
https://github.com/flathub/flathub/pull/7857,0,,
https://github.com/flathub/flathub/pull/8133,1,,"1,2"
https://github.com/OWASP/Nettacker/pull/1482,1,,"2,4"
https://github.com/apache/airflow/pull/68054,1,,"1,2"
https://github.com/spesmilo/electrum/pull/10478,1,,"1,"
https://github.com/flathub/flathub/pull/8097,0,,
https://github.com/flathub/flathub/pull/8781,0,"This doesn't look like slop, more like a bad contributor but it is probably labeled as slop.",
https://github.com/OWASP/Nettacker/pull/1470,0,,
https://github.com/photoprism/photoprism/pull/5533,1,,"1,4"
https://github.com/flathub/flathub/pull/8754,0,"This doesn't look like slop, more like a bad contributor but it is probably labeled as slop.",
https://github.com/flathub/flathub/pull/8958,0,,
https://github.com/jgromes/RadioLib/pull/1702,0,"Looks more like a spam contributor, rather than AI slop (could've been labeled as slop)",
https://github.com/flathub/flathub/pull/8145,0,,
https://github.com/flathub/flathub/pull/7947,0,"Looks more like a bad contributor using AI incorrectly, but could've been labeled as slop",
https://github.com/n8n-io/n8n-docs/pull/3830,1,,"7,3,4"
https://github.com/flathub/flathub/pull/8439,0,"This doesn't look like slop, more like REALLY bad contributor but it is probably labeled as slop.",
https://github.com/flathub/flathub/pull/8768,0,,
https://github.com/apache/airflow/pull/46030,1,,"7,2"
https://github.com/flathub/flathub/pull/9034,0,"I've marked this as not slop, since this could be just a really bad contributor. (probably labeled as slop)",
https://github.com/flathub/flathub/pull/8561,0,,
https://github.com/flathub/flathub/pull/8515,0,,
https://github.com/ripienaar/free-for-dev/pull/4482,1,,"7,2"
https://github.com/flathub/flathub/pull/8736,1,,"2,7"
https://github.com/OWASP/mastg/pull/3804,1,,"2,4"
https://github.com/freqtrade/freqtrade/pull/13249,0,,
https://github.com/freqtrade/freqtrade/pull/12347,1,"This might be a spam account, rather than a slop bot.","2,7"
https://github.com/OWASP/mastg/pull/3615,0,,
https://github.com/microg/GmsCore/pull/3322,1,,"1,5"
https://github.com/freqtrade/freqtrade/pull/12895,1,,"2,3,4"
https://github.com/flathub/flathub/pull/8731,1,,"1,2,3,5"
https://github.com/flathub/flathub/pull/8302,1,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/flathub/flathub/pull/8575,1,,"1,2"
https://github.com/flathub/flathub/pull/8460,0,,
https://github.com/sorrycc/awesome-javascript/pull/1009,1,,"1,2,5"
https://github.com/OWASP/mastg/pull/3616,1,,"1,2"
https://github.com/flathub/flathub/pull/8435,0,Could've been labeled as slop.,
https://github.com/flathub/flathub/pull/8229,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/apache/airflow/pull/67760,0,,
https://github.com/jazzband/pip-tools/pull/2313,1,,"1,2,"
https://github.com/flathub/flathub/pull/8379,0,,
https://github.com/flathub/flathub/pull/8778,1,"I labeled this as slop, but it could just be a bad contributor","1,2"
https://github.com/flathub/flathub/pull/8331,0,,
https://github.com/n8n-io/n8n-docs/pull/4190,1,,"3,4"
