feature,slop_median_z,control_median_z,effect_size,p_value,slop_n,control_n,slop_pct,control_pct,odds_ratio,p_corrected,significant,abs_effect
time_to_close_hours,-0.03044619132688515,0.0629227423293177,0.22781599822540488,6.386206441706366e-21,1132.0,1131.0,,,,1.0217930306730186e-19,True,0.22781599822540488
comment_count,-0.08695652173913043,0.0,0.2240020245381522,1.818905472345101e-20,1132.0,1131.0,,,,2.9102487557521617e-19,True,0.2240020245381522
commit_count,0.0,0.0,0.21371296547974994,9.52101098857862e-20,1132.0,1131.0,,,,1.5233617581725792e-18,True,0.21371296547974994
lexical_diversity,0.11512187859266423,-0.005715762983472788,-0.15548912729937792,3.1836485693054767e-09,974.0,961.0,,,,5.093837710888763e-08,True,0.15548912729937792
generic_commit_ratio,0.0,0.0,-0.12218501922155034,1.0205578813331929e-07,1041.0,1038.0,,,,1.6328926101331086e-06,True,0.12218501922155034
title_length,0.06896551724137931,-0.09090909090909091,-0.12098571410168879,1.721162948190053e-06,1043.0,1042.0,,,,2.7538607171040848e-05,True,0.12098571410168879
body_length,-0.08769731896767727,0.009337068160597572,0.11735305105050953,3.491842922697256e-06,1043.0,1042.0,,,,5.58694867631561e-05,True,0.11735305105050953
time_to_first_response_hours,-0.0089086859688196,0.0,0.0773513148902557,0.0035190578747547364,963.0,936.0,,,,0.05630492599607578,False,0.0773513148902557
lines_deleted,0.0,0.0,0.04697287806219208,0.039494235401735925,1132.0,1131.0,,,,0.6319077664277748,False,0.04697287806219208
lines_added,0.00697350069735007,0.0,-0.024591265117644978,0.311127365116423,1132.0,1131.0,,,,1.0,False,0.024591265117644978
files_changed,0.0,0.0,0.0012575256269663493,0.958257493707397,1132.0,1131.0,,,,1.0,False,0.0012575256269663493
has_rigid_template,,,,5.878031184347771e-11,,,20.99712368168744,10.460652591170826,2.2749510109557316,9.404849894956433e-10,True,
has_issue_ref,,,,0.00048494842134148863,,,28.091872791519435,21.662245800176834,1.4127663841949556,0.007759174741463818,True,
touches_test_files,,,,0.4714730028949986,,,17.491166077738516,16.268788682581786,1.0910646122334977,1.0,False,
has_signed_commits,,,,6.832835014911056e-16,,,22.34982332155477,38.01945181255526,0.46922507077281267,1.0932536023857689e-14,True,
repo_has_template,,,,1.0,,,89.48763250883393,89.47833775419983,1.0009881422924902,1.0,False,
